Episode,Total Reward,Steps,Inventory Size,Epsilon,Time (s),Actor Loss,Critic Loss
1,-47.4704519649796,200,55.0,N/A,5.897568941116333,N/A,N/A
2,-47.63843248989222,200,58.0,N/A,5.764750003814697,N/A,N/A
3,-75.04812632782112,200,56.0,N/A,5.778314828872681,N/A,N/A
4,32.44834047588579,200,-13.0,N/A,5.711342811584473,N/A,N/A
5,5.433667333692393,200,-26.0,N/A,5.921144247055054,N/A,N/A
6,-45.85027215333028,200,41.0,N/A,11.199704885482788,N/A,N/A
7,14.70457478675555,200,21.0,N/A,12.21502423286438,N/A,N/A
8,27.851634898584813,200,38.0,N/A,11.81697416305542,N/A,N/A
9,-120.62530882135574,200,34.0,N/A,11.615514993667603,N/A,N/A
10,5.732228413927578,200,64.0,N/A,10.952461004257202,N/A,N/A
11,-63.26964687997416,200,48.99999999999818,N/A,11.449881076812744,N/A,N/A
12,-91.62766613351906,200,64.0,N/A,11.647371053695679,N/A,N/A
13,0.013968874823367727,200,41.0,N/A,11.172182083129883,N/A,N/A
14,-73.6644297918984,200,51.00000000000182,N/A,11.679187059402466,N/A,N/A
15,-82.43559867422857,200,39.0,N/A,12.227100849151611,N/A,N/A
16,139.75746621028384,200,65.0,N/A,11.576608180999756,N/A,N/A
17,-42.139616554449866,200,42.0,N/A,11.01910400390625,N/A,N/A
18,-69.98604214751117,200,44.0,N/A,10.855529069900513,N/A,N/A
19,-18.455988448209226,200,28.99999999999818,N/A,10.834143877029419,N/A,N/A
20,-27.034537351104603,200,58.0,N/A,10.842577934265137,N/A,N/A
21,79.27005381493099,200,60.0,N/A,10.872282028198242,N/A,N/A
22,-102.5172935441341,200,29.99999999999818,N/A,11.017007112503052,N/A,N/A
23,-75.86704985648349,200,32.00000000000182,N/A,11.174755811691284,N/A,N/A
24,-51.0103825485979,200,46.0,N/A,11.199151277542114,N/A,N/A
25,-19.64521023895828,200,41.0,N/A,11.243898153305054,N/A,N/A
26,-19.435976166972402,200,35.0,N/A,11.213332891464233,N/A,N/A
27,-97.85352159109588,200,58.0,N/A,11.293982982635498,N/A,N/A
28,-17.996116916278744,200,47.0,N/A,11.856509923934937,N/A,N/A
29,51.148914750507565,200,39.0,N/A,12.121690034866333,N/A,N/A
30,-46.03252941945993,200,52.00000000000182,N/A,11.43972110748291,N/A,N/A
31,-109.93117635441467,200,75.0,N/A,11.13651990890503,N/A,N/A
32,-118.22075598347364,200,27.0,N/A,11.164303064346313,N/A,N/A
33,-71.61011957432507,200,62.0,N/A,10.993102788925171,N/A,N/A
34,-51.38006461008254,200,34.0,N/A,11.784811973571777,N/A,N/A
35,-66.55288759689934,200,54.0,N/A,11.33029294013977,N/A,N/A
36,-70.25863970712128,200,31.00000000000182,N/A,11.872056007385254,N/A,N/A
37,-174.40367262058075,200,48.99999999999818,N/A,11.271416902542114,N/A,N/A
38,-36.054524475914974,200,53.0,N/A,11.263817071914673,N/A,N/A
39,-78.58638110275876,200,61.0,N/A,11.836363077163696,N/A,N/A
40,140.29002096669015,200,75.0,N/A,11.795771837234497,N/A,N/A
41,64.31265645518978,200,66.0,N/A,12.21842622756958,N/A,N/A
42,18.657207193773978,200,61.0,N/A,11.832265138626099,N/A,N/A
43,-101.63448149404182,200,48.99999999999818,N/A,11.862700939178467,N/A,N/A
44,-151.11260793534294,200,62.0,N/A,10.984137058258057,N/A,N/A
45,-86.44285776390232,200,45.0,N/A,10.844310998916626,N/A,N/A
46,-85.53009411481989,200,36.0,N/A,11.105591773986816,N/A,N/A
47,10.571578540837535,200,73.0,N/A,11.691095113754272,N/A,N/A
48,130.01046597770178,200,55.0,N/A,11.090258836746216,N/A,N/A
49,27.796528463941925,200,54.0,N/A,11.45064401626587,N/A,N/A
50,-121.27043107242291,200,53.0,N/A,11.709159851074219,N/A,N/A
51,-67.78515928135108,200,58.0,N/A,11.48021912574768,N/A,N/A
52,1.169514607249376,200,51.00000000000182,N/A,11.447143077850342,N/A,N/A
53,19.961644289048138,200,66.0,N/A,11.445689916610718,N/A,N/A
54,-34.751244502680194,200,85.0,N/A,11.699767112731934,N/A,N/A
55,28.39537630381084,200,44.0,N/A,11.328097820281982,N/A,N/A
56,-129.9054713192468,200,49.99999999999818,N/A,11.314345121383667,N/A,N/A
57,-75.58593871020997,200,78.0,N/A,11.31005597114563,N/A,N/A
58,-41.529122786165026,200,44.0,N/A,11.203559875488281,N/A,N/A
59,-139.1902943377312,200,55.0,N/A,11.767228126525879,N/A,N/A
60,-18.022438027894083,200,38.0,N/A,11.408934831619263,N/A,N/A
61,-64.31756701732293,200,33.0,N/A,11.653202295303345,N/A,N/A
62,-17.98421517141875,200,29.99999999999818,N/A,11.7329580783844,N/A,N/A
63,12.270771484992313,200,27.0,N/A,11.572275876998901,N/A,N/A
64,184.2533335976733,200,54.0,N/A,11.612045049667358,N/A,N/A
65,-189.6583755513229,200,56.0,N/A,11.682204961776733,N/A,N/A
66,-91.57600557188832,200,42.0,N/A,11.786815881729126,N/A,N/A
67,-25.366172088238322,200,45.0,N/A,11.471338987350464,N/A,N/A
68,-13.144464997998043,200,39.0,N/A,11.456086874008179,N/A,N/A
69,-40.48260672884028,200,59.0,N/A,11.587594032287598,N/A,N/A
70,-44.7566180515165,200,52.00000000000182,N/A,11.320564985275269,N/A,N/A
71,-24.63380942801505,200,39.0,N/A,12.069228649139404,N/A,N/A
72,36.34196711304975,200,44.0,N/A,12.303109169006348,N/A,N/A
73,-151.63806295794905,200,42.0,N/A,12.389024019241333,N/A,N/A
74,-54.18861797236188,200,32.00000000000182,N/A,12.534735202789307,N/A,N/A
75,1.2244626491337733,200,-13.0,N/A,12.222308158874512,N/A,N/A
76,5.615021049547649,200,3.0,N/A,12.515555143356323,N/A,N/A
77,-17.11423082986495,200,18.0,N/A,11.762006998062134,N/A,N/A
78,31.60608794640529,200,7.0,N/A,11.86721396446228,N/A,N/A
79,-10.079776053604661,200,21.0,N/A,11.958992958068848,N/A,N/A
80,52.81947351468794,200,-2.0,N/A,11.971842050552368,N/A,N/A
81,-0.4698704875319737,200,-7.0,N/A,11.910301923751831,N/A,N/A
82,-110.55822202566715,200,-28.0,N/A,11.176134824752808,N/A,N/A
83,-0.8313197619842376,200,1.0,N/A,11.716609001159668,N/A,N/A
84,0.4500089710496278,200,-22.0,N/A,12.001219987869263,N/A,N/A
85,19.4993608937814,200,-8.0,N/A,12.450129747390747,N/A,N/A
86,6.311120700430741,200,-20.0,N/A,12.58648681640625,N/A,N/A
87,19.967587830456374,200,-5.0,N/A,11.743362188339233,N/A,N/A
88,-4.445965284637397,200,-29.0,N/A,11.645116329193115,N/A,N/A
89,-15.820007191216403,200,-17.0,N/A,11.501002073287964,N/A,N/A
90,6.9674593604335815,200,6.0,N/A,11.407323837280273,N/A,N/A
91,16.297104620225173,200,-7.0,N/A,11.417963981628418,N/A,N/A
92,18.249664025970656,200,12.0,N/A,11.270259857177734,N/A,N/A
93,3.146589942083688,200,6.0,N/A,11.30303692817688,N/A,N/A
94,-24.853613056596078,200,-41.0,N/A,12.819156169891357,N/A,N/A
95,-18.391509561322543,200,14.0,N/A,11.50619101524353,N/A,N/A
96,-51.62331717636612,200,-40.0,N/A,11.740108966827393,N/A,N/A
97,-7.223963205288531,200,-29.0,N/A,11.703409910202026,N/A,N/A
98,-63.159793325968835,200,-34.0,N/A,11.951904058456421,N/A,N/A
99,-38.069689033686686,200,-29.0,N/A,11.845169067382812,N/A,N/A
100,-32.20906019479168,200,-51.0,N/A,11.591641902923584,N/A,N/A
101,-17.69210301818825,200,-61.0,N/A,11.547924041748047,N/A,N/A
102,-53.56311369121969,200,-50.0,N/A,11.502778053283691,N/A,N/A
103,-35.592009309357316,200,-39.0,N/A,11.466117858886719,N/A,N/A
104,-47.472135891682875,200,-22.0,N/A,11.529725074768066,N/A,N/A
105,-44.47541717366959,200,-36.0,N/A,11.8649320602417,N/A,N/A
106,-138.75014816442365,200,-44.0,N/A,11.677158832550049,N/A,N/A
107,25.48526589882399,200,-28.0,N/A,11.367900133132935,N/A,N/A
108,-0.09451111406663593,200,-50.0,N/A,11.987590789794922,N/A,N/A
109,-7.621462425066859,200,-46.0,N/A,11.631187915802002,N/A,N/A
110,3.483711645477025,200,-46.0,N/A,11.884909868240356,N/A,N/A
111,-96.0606757155225,200,-51.0,N/A,11.9050931930542,N/A,N/A
112,21.999800277057638,200,-34.0,N/A,11.738107204437256,N/A,N/A
113,-40.083350919400644,200,-45.0,N/A,12.6338472366333,N/A,N/A
114,36.42092825105352,200,-56.0,N/A,11.59532117843628,N/A,N/A
115,34.49113140716741,200,-44.0,N/A,11.46211314201355,N/A,N/A
116,-14.828885307798075,200,-28.0,N/A,11.517568826675415,N/A,N/A
117,-34.652881798402916,200,-29.0,N/A,11.422242164611816,N/A,N/A
118,-5.894359149526371,200,-40.0,N/A,11.279003143310547,N/A,N/A
119,-99.0014263777422,200,-43.0,N/A,11.535593032836914,N/A,N/A
120,-49.47071297734926,200,-38.0,N/A,11.547159671783447,N/A,N/A
121,-54.01240784686436,200,-36.0,N/A,13.64448094367981,N/A,N/A
122,-35.993691971987026,200,-36.0,N/A,16.230621099472046,N/A,N/A
123,-95.79162083341349,200,-45.0,N/A,12.547754049301147,N/A,N/A
124,-57.66235191236403,200,-54.0,N/A,12.240129947662354,N/A,N/A
125,73.23771554649487,200,-44.0,N/A,12.161073923110962,N/A,N/A
126,-4.962060495972547,200,-41.0,N/A,11.882994890213013,N/A,N/A
127,-63.51811192294921,200,-35.0,N/A,13.035330057144165,N/A,N/A
