Episode,Total Reward,Steps,Inventory Size,Epsilon,Time (s),Actor Loss,Critic Loss
1,6.59400635787722,200,5.0,N/A,1.7119951248168945,N/A,N/A
2,11.851051997157139,200,5.0,N/A,3.9341249465942383,N/A,N/A
3,-0.9952987054770044,200,7.0,N/A,4.834969758987427,N/A,N/A
4,10.077618757538659,200,4.0,N/A,4.7570061683654785,N/A,N/A
5,24.52104970194908,200,8.0,N/A,4.765711784362793,N/A,N/A
6,7.9547996778681345,200,2.0,N/A,4.654055833816528,N/A,N/A
7,20.191510362873377,200,3.0,N/A,4.621361970901489,N/A,N/A
8,26.456138569386482,200,6.0,N/A,4.311767101287842,N/A,N/A
9,31.349812271299747,200,-2.0,N/A,4.671567916870117,N/A,N/A
10,19.409260982088266,200,2.0,N/A,4.6465067863464355,N/A,N/A
11,20.93385489419381,200,4.0,N/A,4.649976968765259,N/A,N/A
12,5.810332955473063,200,-2.0,N/A,4.6100239753723145,N/A,N/A
13,18.931193309190604,200,-2.0,N/A,4.519863843917847,N/A,N/A
14,8.93671403979448,200,8.999999999998181,N/A,4.577932119369507,N/A,N/A
15,12.248904409755465,200,3.0,N/A,4.839659214019775,N/A,N/A
16,37.84281806651352,200,0.0,N/A,4.724280118942261,N/A,N/A
17,18.566682274610507,200,0.0,N/A,4.902221918106079,N/A,N/A
18,18.899739810136936,200,6.0,N/A,5.284043073654175,N/A,N/A
19,19.09168184856873,200,3.0,N/A,4.767153263092041,N/A,N/A
20,15.139841643204207,200,4.0,N/A,5.21878981590271,N/A,N/A
21,9.91785319847967,200,3.0,N/A,4.936366081237793,N/A,N/A
22,13.379708194507302,200,-1.0,N/A,4.8605968952178955,N/A,N/A
23,29.59667170947156,200,-1.0,N/A,4.992021083831787,N/A,N/A
24,6.779181197683172,200,2.0,N/A,4.625955104827881,N/A,N/A
25,7.012716929649814,200,1.0,N/A,4.628285884857178,N/A,N/A
26,18.257216831684104,200,-3.0,N/A,4.58561635017395,N/A,N/A
27,11.683691435850504,200,7.0,N/A,4.617627143859863,N/A,N/A
28,23.92557104925481,200,4.0,N/A,4.630032062530518,N/A,N/A
29,27.322741594901355,200,-3.0,N/A,4.614547967910767,N/A,N/A
30,18.38493609769248,200,2.0,N/A,4.633065938949585,N/A,N/A
31,31.785818729237658,200,2.0,N/A,4.617199897766113,N/A,N/A
32,25.142807624397392,200,-6.0,N/A,4.59817099571228,N/A,N/A
33,19.262607487237037,200,-1.0,N/A,4.620222091674805,N/A,N/A
34,11.27985171268984,200,0.0,N/A,4.599519968032837,N/A,N/A
35,19.30694215697261,200,4.0,N/A,4.60404896736145,N/A,N/A
36,11.444160395233675,200,2.0,N/A,4.709152936935425,N/A,N/A
37,0.1789030373256244,200,3.0,N/A,4.769267797470093,N/A,N/A
38,11.712220540676023,200,-8.0,N/A,4.76764702796936,N/A,N/A
39,13.877155614147817,200,4.0,N/A,4.9643800258636475,N/A,N/A
40,46.068801598215074,200,12.0,N/A,4.66490912437439,N/A,N/A
41,11.801292271205687,200,-3.0,N/A,4.633541107177734,N/A,N/A
42,2.4737976906790737,200,-7.0,N/A,4.614154100418091,N/A,N/A
43,9.324744590464395,200,4.0,N/A,4.6369099617004395,N/A,N/A
44,10.153889818828699,200,1.0,N/A,4.613265752792358,N/A,N/A
45,29.669208860491533,200,-3.0,N/A,4.599707126617432,N/A,N/A
46,4.899148815482868,200,1.0,N/A,4.632077932357788,N/A,N/A
47,9.726523265117828,200,-2.0,N/A,4.608443260192871,N/A,N/A
48,24.280826683925344,200,-2.0,N/A,4.608120918273926,N/A,N/A
49,21.59661531758044,200,-1.0,N/A,4.611861944198608,N/A,N/A
50,31.45718680007521,200,-1.0,N/A,4.612007141113281,N/A,N/A
51,18.87854971399727,200,6.0,N/A,4.629333972930908,N/A,N/A
52,16.080827189782504,200,3.0,N/A,4.622152805328369,N/A,N/A
53,21.480256698023542,200,1.0,N/A,4.608753204345703,N/A,N/A
54,26.679516461439803,200,8.999999999998181,N/A,4.61860990524292,N/A,N/A
55,32.17650378298203,200,3.0,N/A,4.632587194442749,N/A,N/A
56,13.513163875313193,200,2.0,N/A,4.7232160568237305,N/A,N/A
57,20.746379952676257,200,5.0,N/A,4.628570079803467,N/A,N/A
58,9.978588947824722,200,5.0,N/A,4.593355894088745,N/A,N/A
59,26.792229558736164,200,-5.0,N/A,4.632661819458008,N/A,N/A
60,28.950809769793228,200,1.0,N/A,4.606992721557617,N/A,N/A
61,27.573530821258075,200,1.0,N/A,4.618445158004761,N/A,N/A
62,18.846507499378763,200,3.0,N/A,4.757534980773926,N/A,N/A
63,14.768639208744757,200,3.0,N/A,4.926760196685791,N/A,N/A
64,38.368325147518775,200,4.0,N/A,4.624665260314941,N/A,N/A
65,-1.8975923794115028,200,5.0,N/A,4.648364067077637,N/A,N/A
66,-7.085020225014841,200,7.0,N/A,4.727226257324219,N/A,N/A
67,4.9897271712210785,200,3.0,N/A,4.710349082946777,N/A,N/A
68,19.612152970576354,200,1.0,N/A,4.693386077880859,N/A,N/A
69,26.49957517209471,200,2.0,N/A,5.007107734680176,N/A,N/A
70,9.10317593587338,200,0.0,N/A,4.671834230422974,N/A,N/A
71,18.593998415225006,200,4.0,N/A,4.627277135848999,N/A,N/A
72,4.839334591879483,200,-1.0,N/A,4.610599040985107,N/A,N/A
73,8.57042403831562,200,2.0,N/A,4.626986026763916,N/A,N/A
74,20.14972181810743,200,2.0,N/A,4.629810094833374,N/A,N/A
75,11.395621232510864,200,5.0,N/A,4.6356658935546875,N/A,N/A
76,21.53882543164359,200,2.0,N/A,4.65002179145813,N/A,N/A
77,16.13969585594374,200,6.0,N/A,4.625980854034424,N/A,N/A
78,19.23667467426008,200,1.0,N/A,4.609957933425903,N/A,N/A
79,20.68753296057235,200,4.0,N/A,4.868321895599365,N/A,N/A
80,6.957189638407755,200,3.0,N/A,4.730479001998901,N/A,N/A
81,17.19191026978015,200,2.0,N/A,5.094702959060669,N/A,N/A
82,27.424059702640516,200,5.0,N/A,4.671554088592529,N/A,N/A
83,1.5312815362055066,200,4.0,N/A,4.6419289112091064,N/A,N/A
84,20.90093924096974,200,1.0,N/A,4.673858642578125,N/A,N/A
85,19.606693201945028,200,3.0,N/A,4.665254354476929,N/A,N/A
86,17.673501557135726,200,5.0,N/A,4.640911102294922,N/A,N/A
87,44.23511568554143,200,9.999999999998181,N/A,4.732709884643555,N/A,N/A
88,2.4798216035732317,200,6.0,N/A,5.124338150024414,N/A,N/A
89,6.08528009090152,200,7.0,N/A,4.899776935577393,N/A,N/A
90,10.81679217129939,200,6.0,N/A,4.77216100692749,N/A,N/A
91,10.600364223094852,200,7.0,N/A,4.686295986175537,N/A,N/A
92,12.090005655932407,200,1.0,N/A,4.756178855895996,N/A,N/A
93,7.869040743749252,200,-2.0,N/A,4.744635820388794,N/A,N/A
94,18.40381225412343,200,2.0,N/A,4.932488203048706,N/A,N/A
95,8.537945318911968,200,7.0,N/A,4.630937099456787,N/A,N/A
96,23.538207933588676,200,6.0,N/A,4.83235502243042,N/A,N/A
97,11.330391807144224,200,8.0,N/A,4.7274329662323,N/A,N/A
98,27.961964500121084,200,9.999999999998181,N/A,4.685369968414307,N/A,N/A
99,2.4423907272072722,200,8.999999999998181,N/A,5.570400953292847,N/A,N/A
100,26.180355966799297,200,8.0,N/A,5.025654077529907,N/A,N/A
101,9.294239644911777,200,8.999999999998181,N/A,4.996797800064087,N/A,N/A
102,6.809847764728904,200,7.0,N/A,5.027458906173706,N/A,N/A
103,13.463052450042017,200,2.0,N/A,5.311633825302124,N/A,N/A
104,12.978758166045296,200,5.0,N/A,5.16750693321228,N/A,N/A
105,12.79087065805756,200,7.0,N/A,4.910191059112549,N/A,N/A
106,25.003078599552495,200,7.0,N/A,4.917773962020874,N/A,N/A
107,-3.743179763123127,200,14.0,N/A,4.864957094192505,N/A,N/A
108,16.683164218529473,200,8.999999999998181,N/A,4.867406129837036,N/A,N/A
109,1.0228223977294686,200,8.0,N/A,5.56934118270874,N/A,N/A
110,9.583406214044045,200,6.0,N/A,5.525032043457031,N/A,N/A
111,16.133248779579947,200,5.0,N/A,5.435197353363037,N/A,N/A
112,5.483884392773069,200,6.0,N/A,4.97860312461853,N/A,N/A
113,17.73730205584759,200,5.0,N/A,4.919213771820068,N/A,N/A
114,10.423333255065476,200,8.999999999998181,N/A,4.979318857192993,N/A,N/A
115,-9.638836219854594,200,7.0,N/A,4.8476667404174805,N/A,N/A
116,16.1923640478502,200,5.0,N/A,4.8497679233551025,N/A,N/A
117,26.927964951577756,200,8.0,N/A,4.811178922653198,N/A,N/A
118,8.575543926153056,200,5.0,N/A,4.940481901168823,N/A,N/A
119,33.239854233761505,200,7.0,N/A,5.245000839233398,N/A,N/A
120,19.382507941512245,200,8.0,N/A,4.75372576713562,N/A,N/A
121,22.597374457153997,200,9.999999999998181,N/A,4.802688121795654,N/A,N/A
122,18.736162303588685,200,8.0,N/A,4.884610891342163,N/A,N/A
123,30.646224057851036,200,8.999999999998181,N/A,4.737489938735962,N/A,N/A
124,7.339568749458328,200,9.999999999998181,N/A,4.785374879837036,N/A,N/A
125,-20.76630550673518,200,11.000000000001819,N/A,4.8602681159973145,N/A,N/A
126,16.39890476357692,200,8.0,N/A,5.040695667266846,N/A,N/A
127,10.81968295330612,200,4.0,N/A,4.930884838104248,N/A,N/A
128,26.04984934790491,200,9.999999999998181,N/A,4.8873982429504395,N/A,N/A
129,11.02893985988501,200,7.0,N/A,4.824054956436157,N/A,N/A
130,20.872260107202425,200,3.0,N/A,4.809859037399292,N/A,N/A
131,11.560700478088382,200,8.999999999998181,N/A,4.884544849395752,N/A,N/A
132,18.10970688162427,200,13.0,N/A,4.858739852905273,N/A,N/A
133,6.442788337556346,200,15.0,N/A,4.792845010757446,N/A,N/A
134,39.73973723960074,200,9.999999999998181,N/A,4.764554977416992,N/A,N/A
135,15.969291229167823,200,6.0,N/A,4.840356111526489,N/A,N/A
136,28.79316442894936,200,8.0,N/A,4.816581726074219,N/A,N/A
137,16.237786176190767,200,9.999999999998181,N/A,4.809277057647705,N/A,N/A
138,5.524259558068055,200,13.0,N/A,4.835841178894043,N/A,N/A
139,19.338654844322345,200,5.0,N/A,5.126560926437378,N/A,N/A
140,12.5674686793163,200,15.0,N/A,5.015347957611084,N/A,N/A
141,13.361001762210407,200,7.0,N/A,4.860307931900024,N/A,N/A
142,-18.604300303388342,200,12.0,N/A,4.839049816131592,N/A,N/A
143,16.703202685604438,200,15.0,N/A,4.735523223876953,N/A,N/A
144,5.606982388781356,200,19.0,N/A,4.749892711639404,N/A,N/A
145,-6.511667830748319,200,9.999999999998181,N/A,4.751295328140259,N/A,N/A
146,53.51438045629503,200,15.0,N/A,4.771353006362915,N/A,N/A
147,13.834690862440876,200,12.0,N/A,4.729678630828857,N/A,N/A
148,9.041395799481158,200,8.999999999998181,N/A,4.7226691246032715,N/A,N/A
149,23.75685883144017,200,8.0,N/A,4.7961719036102295,N/A,N/A
150,27.515122986366414,200,9.999999999998181,N/A,4.695478916168213,N/A,N/A
151,-8.283087554823025,200,5.0,N/A,4.7687318325042725,N/A,N/A
152,-8.32663810920541,200,12.0,N/A,4.68586802482605,N/A,N/A
153,15.42622757188736,200,8.0,N/A,4.731154918670654,N/A,N/A
154,7.008601322248552,200,8.0,N/A,4.772741317749023,N/A,N/A
155,12.648675180345677,200,20.0,N/A,4.728533983230591,N/A,N/A
156,16.838731308488896,200,4.0,N/A,4.720191955566406,N/A,N/A
157,-12.350063794288573,200,8.999999999998181,N/A,4.784791707992554,N/A,N/A
158,4.27145450554071,200,9.999999999998181,N/A,4.709435224533081,N/A,N/A
159,-4.807454588178271,200,8.0,N/A,4.748961925506592,N/A,N/A
160,8.70109666151581,200,11.000000000001819,N/A,4.717566013336182,N/A,N/A
161,28.673215560658385,200,13.0,N/A,4.699175119400024,N/A,N/A
162,-10.53998910794703,200,12.0,N/A,4.8925089836120605,N/A,N/A
163,29.00940250735863,200,17.0,N/A,5.024838209152222,N/A,N/A
164,-1.2336465089253865,200,13.0,N/A,4.879340171813965,N/A,N/A
165,-12.815032471369236,200,21.0,N/A,4.972758769989014,N/A,N/A
