Episode,Total Reward,Steps,Inventory Size,Epsilon,Time (s),Actor Loss,Critic Loss
1,1.386369048135012,200,2.0,N/A,8.903434038162231,,
2,4.326322471222116,200,0.0,N/A,20.147218942642212,0.032713436,0.038973726
3,0.19852230721483444,200,2.0,N/A,24.155808925628662,0.017234795,0.04086503
4,2.835360717429352,200,-1.0,N/A,24.650355100631714,0.014797417,0.029334493
5,12.830316200640183,200,3.0,N/A,25.04680609703064,0.0093847215,0.04175991
6,6.6184562471135315,200,1.0,N/A,24.397181034088135,0.044047628,0.029153038
7,7.134399872390697,200,3.0,N/A,23.882730960845947,0.006265534,0.07266293
8,12.49342289121959,200,0.0,N/A,25.692159175872803,0.014578755,0.048263256
9,16.409770080564478,200,-1.0,N/A,25.149297952651978,0.0155511815,0.057713892
10,7.947150407216823,200,-2.0,N/A,24.41991901397705,0.014313326,0.032556072
11,10.312322806507844,200,2.0,N/A,24.216052293777466,0.030196626,0.054122776
12,0.0,200,0.0,N/A,25.499023914337158,0.03724002,0.051080614
13,5.731240369277962,200,-7.0,N/A,24.1790828704834,0.035165463,0.054617457
14,6.2318285534589615,200,-3.0,N/A,23.57411479949951,0.06804065,0.039001253
15,23.27819917389277,200,-2.0,N/A,24.78170394897461,0.026667438,0.063990325
16,8.071767261331116,200,-2.0,N/A,24.781825065612793,0.04836549,0.05498609
17,7.879935873722576,200,0.0,N/A,25.25205898284912,0.030057235,0.05593732
18,11.619552057397671,200,-2.0,N/A,24.67533302307129,0.038280588,0.050539337
19,13.188052858992453,200,-4.0,N/A,24.895574808120728,0.03198862,0.056325674
20,8.193038872161239,200,-3.0,N/A,24.857078075408936,0.048077475,0.04706097
21,-2.3104757114264887,200,-1.0,N/A,24.708128929138184,0.036764786,0.05040428
22,2.3199336510202047,200,1.0,N/A,24.78811502456665,0.038785275,0.05134882
23,8.829116080251746,200,-1.0,N/A,25.459092140197754,0.030728627,0.03567661
24,12.997662265459331,200,0.0,N/A,25.01000690460205,0.036164496,0.032151535
25,3.9173361726588674,200,-2.0,N/A,25.364364862442017,0.045953657,0.039750963
26,8.239422116691848,200,-4.0,N/A,25.01127600669861,0.038481478,0.064708106
27,14.385516734550398,200,0.0,N/A,24.834999084472656,0.011396984,0.051922433
28,22.77056197418753,200,-8.0,N/A,25.70560097694397,0.037330106,0.051468007
29,1.6976621201825193,200,-8.0,N/A,25.160146951675415,0.012123592,0.082223505
30,11.833116700384986,200,-3.0,N/A,25.15045189857483,0.04112622,0.06806922
31,25.232916036218363,200,-3.0,N/A,25.56816267967224,0.030269755,0.058472805
32,28.048538971597694,200,-8.0,N/A,24.967437028884888,0.039062485,0.07664521
33,7.165558804897596,200,-4.0,N/A,25.31831383705139,0.059559315,0.07167293
34,9.822004286800658,200,0.0,N/A,25.061331033706665,0.054324776,0.05474181
35,17.23747845677201,200,-1.0,N/A,23.87786102294922,0.036754373,0.07185927
36,12.421987712225791,200,-2.0,N/A,24.364933967590332,0.06126768,0.06884879
37,2.263166895120616,200,5.0,N/A,23.779134273529053,0.06643458,0.0970975
38,12.648288306590864,200,-5.0,N/A,23.78270983695984,0.06066385,0.07730839
39,11.862483021420546,200,2.0,N/A,24.52101492881775,0.053677868,0.09565094
40,31.947832925549935,200,6.0,N/A,24.784698247909546,0.065560766,0.0813043
41,6.725028191355589,200,-4.0,N/A,24.75658082962036,0.04015987,0.071672454
42,3.498054878560583,200,-10.0,N/A,24.732763051986694,0.061842903,0.075261116
43,11.024837159859871,200,0.0,N/A,24.20761513710022,0.061938874,0.09313151
44,10.450123190429974,200,-3.0,N/A,24.494421005249023,0.05185598,0.08497436
45,21.91226926021759,200,-4.0,N/A,24.339972019195557,0.05945874,0.07123418
46,4.171908305566412,200,-3.0,N/A,24.603612899780273,0.06619014,0.08340092
47,5.652096638660405,200,-6.0,N/A,24.220957040786743,0.07621644,0.059892833
48,-12.424540038404128,200,-12.0,N/A,24.59259295463562,0.072093025,0.08084582
49,10.54457965711135,200,-7.0,N/A,24.58022928237915,0.06661938,0.07777199
50,27.928954013518613,200,-3.0,N/A,24.707726001739502,0.047297366,0.078045145
51,17.24828608954457,200,4.0,N/A,24.7638521194458,0.0785061,0.055918775
52,14.561052642659757,200,1.0,N/A,24.09081482887268,0.07015714,0.09186804
53,12.51896202926083,200,-4.0,N/A,24.23809003829956,0.048755635,0.074097455
54,20.19664605026704,200,3.0,N/A,23.95670485496521,0.035889212,0.08631193
55,16.524768140572405,200,-3.0,N/A,25.243607997894287,0.04717848,0.09426913
56,10.416044709553185,200,-1.0,N/A,25.14697003364563,0.08125656,0.08326011
57,16.993429178506126,200,2.0,N/A,24.987698078155518,0.083164304,0.091551974
58,5.963712146729326,200,-1.0,N/A,24.892815828323364,0.08724937,0.12864147
59,24.504319043032424,200,-5.0,N/A,24.965182065963745,0.047197208,0.09305974
60,18.21317492595865,200,-4.0,N/A,24.86868906021118,0.0679119,0.0971871
61,22.022675231949762,200,-2.0,N/A,24.575931787490845,0.084829345,0.07710582
62,12.49521212590293,200,-2.0,N/A,24.54244899749756,0.081246406,0.06501409
63,14.296883055900196,200,0.0,N/A,24.30827808380127,0.1147288,0.083885476
64,14.499385087644432,200,-3.0,N/A,23.580697059631348,0.069344744,0.10321981
65,2.9447945241816313,200,2.0,N/A,23.302023887634277,0.07353914,0.08168316
66,-1.8555518123177661,200,2.0,N/A,23.743706226348877,0.086836495,0.079181805
67,5.91854187194371,200,-1.0,N/A,24.081706047058105,0.06872927,0.089507446
68,19.45715107301517,200,-1.0,N/A,23.454144954681396,0.10118575,0.076989576
69,14.239677303059224,200,-1.0,N/A,24.278467893600464,0.05718928,0.07729268
70,10.19803908596257,200,-1.0,N/A,24.409648895263672,0.10605675,0.08134148
71,12.24739203276866,200,0.0,N/A,24.373804092407227,0.08393922,0.0774318
72,3.7324548673631956,200,-2.0,N/A,24.48265504837036,0.097789615,0.07938194
73,14.581604819509549,200,-1.0,N/A,24.572149991989136,0.10580514,0.064169414
74,18.192609087537875,200,-1.0,N/A,25.04915499687195,0.10606141,0.09467625
75,2.915439153415946,200,-3.0,N/A,27.80510902404785,0.057978664,0.073542565
